devicemodel,resolution,tag
xiaomi__xiaomi__mi 6,1080x1920,1
xiaomi__xiaomi__mi 6,1920x1080,1
apple-6s,640x1136,1
apple-6s,1136x640,1
apple-6s,750x1334,1
apple-6s,1334x750,1
apple-6splus,1920x1080,1
apple-6splus,1080x1920,1
apple-6splus,1125x2001,1
apple-6splus,2001x1125,1
apple-6splus,1242x2208,1
apple-6splus,2208x1242,1
apple-iphone7,640x1136,1
apple-iphone7,1136x640,1
apple-iphone7,750x1334,1
apple-iphone7,1334x750,1
apple-iphone8,640x1136,1
apple-iphone8,1136x640,1
apple-iphone8,750x1334,1
apple-iphone8,1334x750,1
apple-iphone8plus,1920x1080,1
apple-iphone8plus,1080x1920,1
apple-iphone8plus,1125x2001,1
apple-iphone8plus,2001x1125,1
apple-iphone8plus,1242x2208,1
apple-iphone8plus,2208x1242,1
apple-iphonese,640x1136,1
apple-iphonese,1136x640,1
apple-iphonese2,640x1136,1
apple-iphonese2,1136x640,1
apple-iphonese2,750x1334,1
apple-iphonese2,1334x750,1
apple-iphonexr,1792x828,1
apple-iphonexr,828x1792,1
apple-iphonexr,750x1624,1
apple-iphonexr,1624x750,1
apple-iphonexs-max,1125x2436,1
apple-iphonexs-max,2436x1125,1
apple-iphonexs-max,1242x2688,1
apple-iphonexs-max,2688x1242,1
apple-iphone11,1792x828,1
apple-iphone11,828x1792,1
apple-iphone11,1624x750,1
apple-iphone11,750x1624,1
apple-iphone11pro-max,1125x2436,1
apple-iphone11pro-max,2436x1125,1
apple-iphone11pro-max,1242x2688,1
apple-iphone11pro-max,2688x1242,1
apple-iphone12mini,960x2079,1
apple-iphone12mini,2079x960,1
apple-iphone12mini,1125x2436,1
apple-iphone12mini,2436x1125,1
oppo__oppo __oppo r11,1920x1080,1
oppo__oppo __oppo r11,1080x1920,1
zuk__zuk__zuk z2151,1920x1080,1
zuk__zuk__zuk z2151,1080x1920,1
huawei__huawei__wlz-an00,960x540,0
oneplus__oneplus__hd1900,960x540,0
oneplus__oneplus__gm1910,960x540,0
huawei__huawei__yal-al00,960x540,0
huawei__huawei__hma-al00,960x540,0
oneplus__oneplus__hd1910,960x540,0
huawei__huawei__pct-al10,960x540,0
huawei__huawei__oxf-an00,960x540,0
huawei__huawei__ele-al00,960x540,0
vivo__vivo__v1923a,960x540,0
blackshark__blackshark__skw-a0,960x540,0
blackshark__blackshark__dlt-a0,960x540,0
huawei__huawei__tas-an00,960x540,0
huawei__huawei__yal-al10,960x540,0
huawei__huawei__vog-al00,960x540,0
smartisan__smartisan__dt1901a,960x540,0
vivo__vivo__v1916a,960x540,0
huawei__huawei__tas-al00,960x540,0
samsung__samsung__sm-n9760,960x540,0
samsung__samsung__sm-n9700,960x540,0
huawei__huawei__oxf-an10,960x540,0
samsung__samsung__sm-g9750,960x540,0
samsung__samsung__sm-g9730,960x540,0
huawei__huawei__lya-al10,960x540,0
huawei__huawei__lio-an00,960x540,0
xiaomi__xiaomi__mi_9,960x540,0
oppo__oppo__pclm10,960x540,0
vivo__vivo__v1824a,960x540,0
vivo__vivo__v1936a,960x540,0
oneplus__oneplus__gm1900,960x540,0
nubia__nubia__nx627j,960x540,0
oppo__oppo__pcrt00,960x540,0
meizu__meizu__m973q,960x540,0
vivo__vivo__v1938ct,960x540,0
nubia__nubia__nx629j,960x540,0
realme__realme__rmx1931,960x540,0
vivo__vivo__v1938t,960x540,0
huawei__huawei__sea-al10,960x540,0
huawei__huawei__wlz-an00,540x960,0
oneplus__oneplus__hd1900,540x960,0
oneplus__oneplus__gm1910,540x960,0
huawei__huawei__yal-al00,540x960,0
huawei__huawei__hma-al00,540x960,0
oneplus__oneplus__hd1910,540x960,0
huawei__huawei__pct-al10,540x960,0
huawei__huawei__oxf-an00,540x960,0
huawei__huawei__ele-al00,540x960,0
vivo__vivo__v1923a,540x960,0
blackshark__blackshark__skw-a0,540x960,0
blackshark__blackshark__dlt-a0,540x960,0
huawei__huawei__tas-an00,540x960,0
huawei__huawei__yal-al10,540x960,0
huawei__huawei__vog-al00,540x960,0
smartisan__smartisan__dt1901a,540x960,0
vivo__vivo__v1916a,540x960,0
huawei__huawei__tas-al00,540x960,0
samsung__samsung__sm-n9760,540x960,0
samsung__samsung__sm-n9700,540x960,0
huawei__huawei__oxf-an10,540x960,0
samsung__samsung__sm-g9750,540x960,0
samsung__samsung__sm-g9730,540x960,0
huawei__huawei__lya-al10,540x960,0
huawei__huawei__lio-an00,540x960,0
xiaomi__xiaomi__mi_9,540x960,0
oppo__oppo__pclm10,540x960,0
vivo__vivo__v1824a,540x960,0
vivo__vivo__v1936a,540x960,0
oneplus__oneplus__gm1900,540x960,0
nubia__nubia__nx627j,540x960,0
oppo__oppo__pcrt00,540x960,0
meizu__meizu__m973q,540x960,0
vivo__vivo__v1938ct,540x960,0
nubia__nubia__nx629j,540x960,0
realme__realme__rmx1931,540x960,0
vivo__vivo__v1938t,540x960,0
huawei__huawei__sea-al10,540x960,0
